The Shawkshank Redemption,Drama
The Godfather,"Crime, Drama"
The Dark Knight,"Action, Crime, Drama"
The Godfather Part II,"Crime, Drama"
The Lord of the Rings III,"Adventure, Drama, Fantasy"
Pulp Fiction,"Crime, Drama"
Schindler's List,Drama
"The Good, the Bad and the Ugly",Action
12 Angry Men,Drama
Inception,"Action, Adventure, Sci-Fi"
Fight Club,Drama
The Lord of the Rings I,"Adventure, Drama, Fantasy"
Forrest Group,"Drama, Romance"
Star Wars V the Empire Strikes Back,"Adventure, Drama, Fantasy"
The Lord of the Rings II,"Adventure, Drama, Fantasy"
The Matrix,"Action, Sci-Fi"
Goodfellas,"Crime, Drama"
One Flew over the Cuckoo's Nest,Drama
Seven Samural,"Adventure, Drama"
Interstellar,"Adventure, Drama, Sci-Fi"
