Name,Movie1,Score1,Movie2,Score2,Movie3,Score3,Movie4,Score4,Movie5,Score5
0,The Lord of the Rings III,4.123794995,The Godfather,3.98706966,The Lord of the Rings I,3.78440207,Schindler's List,3.680846358,The Godfather Part II,3.427488441
1,The Lord of the Rings III,3.535815695,The Godfather,3.238555468,The Lord of the Rings I,3.031822057,Interstellar,2.97618587,Schindler's List,2.804996152
2,The Lord of the Rings III,4.193215646,The Godfather,4.088012035,The Lord of the Rings I,3.937065357,Schindler's List,3.891133701,The Shawkshank Redemption,3.752748423
3,The Lord of the Rings III,3.908142567,The Godfather,3.718758158,The Lord of the Rings I,3.514184672,Schindler's List,3.404236634,Fight Club,3.228595033
4,The Lord of the Rings III,3.800308206,The Godfather,3.768219851,Schindler's List,3.454486624,The Lord of the Rings I,3.453309824,The Godfather Part II,3.144269388
5,The Lord of the Rings III,4.102411992,The Godfather,4.004035225,The Shawkshank Redemption,3.912347023,The Dark Knight,3.822573377,The Lord of the Rings I,3.772090267
6,The Lord of the Rings III,3.750018169,The Godfather,3.714942968,Schindler's List,3.402462971,The Lord of the Rings I,3.373344062,The Dark Knight,3.298713434
7,The Lord of the Rings III,3.855692073,The Godfather,3.455516599,The Lord of the Rings I,3.424761453,The Dark Knight,3.305798517,The Shawkshank Redemption,3.278652964
8,The Lord of the Rings III,3.862373366,The Godfather,3.56629424,The Lord of the Rings I,3.456585933,The Shawkshank Redemption,3.344560909,The Dark Knight,3.330144857
9,The Lord of the Rings III,4.04903716,The Godfather,3.87584588,The Lord of the Rings I,3.711134815,Schindler's List,3.577319689,Fight Club,3.329515521
10,The Lord of the Rings III,4.088993865,The Godfather,3.979768753,The Lord of the Rings I,3.771382341,Schindler's List,3.625491958,Fight Club,3.441523291
11,The Lord of the Rings III,3.977536401,The Godfather,3.611297119,The Lord of the Rings I,3.590572894,The Lord of the Rings II,3.361454405,The Dark Knight,3.29445234
12,The Godfather,3.680447694,The Lord of the Rings III,3.644227999,Schindler's List,3.363636668,The Shawkshank Redemption,3.310999531,The Lord of the Rings I,3.3107723
13,The Godfather,3.87969119,The Lord of the Rings III,3.708636094,Schindler's List,3.651691936,The Matrix,3.360566407,The Shawkshank Redemption,3.344313112
14,The Lord of the Rings III,4.096389916,The Godfather,4.022963961,Schindler's List,3.779306602,The Lord of the Rings I,3.771263715,The Dark Knight,3.611162445
15,The Lord of the Rings III,3.877438973,The Lord of the Rings I,3.438424693,The Godfather,3.386713632,The Matrix,3.060191609,Schindler's List,3.038909166
16,The Lord of the Rings III,4.066043237,The Lord of the Rings I,3.742931778,The Godfather,3.655978125,Schindler's List,3.338406143,The Lord of the Rings II,3.300652539
17,The Lord of the Rings III,3.979227317,The Godfather,3.735338251,The Lord of the Rings I,3.606284309,Schindler's List,3.318130351,Fight Club,3.268918163
18,The Godfather,3.646681148,The Lord of the Rings III,3.636095584,The Shawkshank Redemption,3.454509802,Interstellar,3.40955471,The Dark Knight,3.321470548
19,The Lord of the Rings III,3.769356671,The Godfather,3.64295017,The Lord of the Rings I,3.393603106,The Dark Knight,3.39045917,The Shawkshank Redemption,3.353803385
20,The Lord of the Rings III,3.954938989,The Godfather,3.77712281,The Lord of the Rings I,3.600877743,Schindler's List,3.423698845,The Dark Knight,3.28622719
21,The Lord of the Rings III,3.348917642,Interstellar,3.288275488,The Godfather,3.243744507,The Shawkshank Redemption,2.949693888,The Dark Knight,2.924988512
22,The Lord of the Rings III,3.676351516,The Godfather,3.443293119,The Lord of the Rings I,3.251549941,Interstellar,3.041965417,Schindler's List,3.026586028
23,The Lord of the Rings III,3.785602239,The Godfather,3.425490503,The Lord of the Rings I,3.377019639,Schindler's List,3.029674993,Interstellar,3.027726442
24,The Lord of the Rings III,4.010423764,The Godfather,3.846797493,The Shawkshank Redemption,3.715964345,The Lord of the Rings I,3.690036227,The Dark Knight,3.652669879
25,The Lord of the Rings III,3.551570208,The Godfather,3.403242275,Interstellar,3.351368714,The Shawkshank Redemption,3.272363941,The Lord of the Rings I,3.154143331
26,The Lord of the Rings III,3.510996834,Interstellar,3.202746843,The Godfather,3.200106421,The Dark Knight,3.097218683,The Lord of the Rings I,3.030438846
27,The Lord of the Rings III,4.031840699,The Godfather,3.95511852,The Dark Knight,3.82060171,The Shawkshank Redemption,3.802048965,The Lord of the Rings I,3.70171667
28,The Lord of the Rings III,4.110397983,The Godfather,3.866088524,The Lord of the Rings I,3.696929889,The Dark Knight,3.640859421,Schindler's List,3.577704761
29,The Godfather,3.839243656,The Lord of the Rings III,3.745456088,Schindler's List,3.559898831,The Shawkshank Redemption,3.556611647,The Dark Knight,3.48537786
30,The Lord of the Rings III,3.966838028,The Godfather,3.653248684,The Lord of the Rings I,3.593999707,The Shawkshank Redemption,3.417280642,The Dark Knight,3.386132211
31,The Lord of the Rings III,3.843189298,The Godfather,3.667338434,The Lord of the Rings I,3.453395088,The Shawkshank Redemption,3.411805367,The Dark Knight,3.387779654
32,The Lord of the Rings III,4.290696597,The Godfather,4.13539736,The Shawkshank Redemption,4.056386179,The Dark Knight,4.042267727,The Lord of the Rings I,4.038119041
33,The Lord of the Rings III,3.991043235,The Godfather,3.888649454,The Lord of the Rings I,3.6536894,The Dark Knight,3.600651199,The Shawkshank Redemption,3.57649416
34,The Lord of the Rings III,3.788223555,The Godfather,3.580545252,The Lord of the Rings I,3.392844249,Schindler's List,3.200330261,Fight Club,3.10594558
35,The Lord of the Rings III,3.817243042,The Godfather,3.541658056,The Lord of the Rings I,3.455259467,The Shawkshank Redemption,3.31200386,The Dark Knight,3.285450981
36,The Lord of the Rings III,3.598844496,Interstellar,3.421608555,The Dark Knight,3.408301308,The Godfather,3.317977912,The Shawkshank Redemption,3.205749655
37,The Lord of the Rings III,4.070738871,The Godfather,3.893235749,The Shawkshank Redemption,3.814392073,The Dark Knight,3.76070039,The Lord of the Rings I,3.752426474
38,The Lord of the Rings III,3.899752318,The Godfather,3.64704397,The Lord of the Rings I,3.5185902,Schindler's List,3.313493432,Fight Club,3.091625411
39,The Lord of the Rings III,3.386085353,The Godfather,3.3252235,Interstellar,3.122416114,Schindler's List,3.017590296,The Lord of the Rings I,2.885376386
40,The Lord of the Rings III,4.036851337,The Godfather,3.815806787,The Lord of the Rings I,3.619103049,Schindler's List,3.518504048,The Matrix,3.262843008
41,The Lord of the Rings III,3.833898713,The Lord of the Rings I,3.373734695,The Godfather,3.299676656,Interstellar,2.952610348,The Matrix,2.943580396
42,The Lord of the Rings III,3.703409272,The Godfather,3.591875903,The Lord of the Rings I,3.28766732,Schindler's List,3.236455103,Interstellar,3.203345782
43,Interstellar,3.329594955,The Godfather,3.134054172,The Lord of the Rings III,3.120227534,The Dark Knight,2.888942621,The Matrix,2.836527789
44,The Lord of the Rings III,3.631600408,The Godfather,3.438006213,The Lord of the Rings I,3.180100978,Interstellar,3.097787266,The Dark Knight,3.037964629
45,The Lord of the Rings III,3.702918343,The Shawkshank Redemption,3.699056543,Interstellar,3.643940002,The Dark Knight,3.605209172,The Godfather,3.426716018
