,Name,Movie1,Score1,Movie2,Score2,Movie3,Score3,Movie4,Score4,Movie5,Score5
0,0,The Lord of the Rings III,3.665434834222736,Interstellar,3.5027072908174772,The Godfather,3.4912645020876183,The Dark Knight,3.417767773356515,The Shawkshank Redemption,3.4034979610793292
1,1,The Lord of the Rings III,3.6232797148675573,Interstellar,3.472280123903147,The Godfather,3.4055392211284397,The Dark Knight,3.361803774455133,The Shawkshank Redemption,3.340768390497562
2,2,The Lord of the Rings III,3.6685655636287886,Interstellar,3.5506418953249717,The Godfather,3.4845997559717716,The Shawkshank Redemption,3.4584234425280886,The Dark Knight,3.4422545030230003
3,3,The Lord of the Rings III,3.6408782602279106,Interstellar,3.507526220368385,The Godfather,3.457729600573139,The Dark Knight,3.380223688593313,The Shawkshank Redemption,3.3660622700164415
4,4,The Lord of the Rings III,3.6245842532393993,Interstellar,3.492716333846578,The Godfather,3.4470857145458202,The Shawkshank Redemption,3.3908997039698887,The Dark Knight,3.374844787723624
5,5,The Lord of the Rings III,3.6707051959647155,Interstellar,3.526455438240616,The Godfather,3.4802038389139676,The Shawkshank Redemption,3.4440508766621027,The Dark Knight,3.438418262351571
6,6,The Lord of the Rings III,3.6127405183829944,Interstellar,3.51297343574947,The Godfather,3.429068615655897,The Dark Knight,3.3882732457669498,The Shawkshank Redemption,3.36523616110273
7,7,The Lord of the Rings III,3.6444727707574565,Interstellar,3.504501195855021,The Godfather,3.397533619835382,The Dark Knight,3.386602028967007,The Shawkshank Redemption,3.3731519843881337
8,8,The Lord of the Rings III,3.6526217773619973,Interstellar,3.5128723643113964,The Godfather,3.403299016597825,The Dark Knight,3.3929437777543225,The Shawkshank Redemption,3.389737243976094
9,9,The Lord of the Rings III,3.6732917626841335,Interstellar,3.4905932923869423,The Godfather,3.4652699374269247,The Shawkshank Redemption,3.4009100957132934,The Dark Knight,3.388596341688776
10,10,The Lord of the Rings III,3.6384068094023987,Interstellar,3.4989724967125375,The Godfather,3.457142470090531,The Dark Knight,3.411504085748659,The Shawkshank Redemption,3.3857676921903166
11,11,The Lord of the Rings III,3.6587017378255724,Interstellar,3.475186632759966,The Godfather,3.415632112620701,The Dark Knight,3.3717147321600747,The Shawkshank Redemption,3.3582609737488878
12,12,The Lord of the Rings III,3.5725029506510566,Interstellar,3.5214355402610895,The Godfather,3.4457734517035896,The Shawkshank Redemption,3.368302251112351,The Dark Knight,3.355003630295611
13,13,The Lord of the Rings III,3.6193383319416994,Interstellar,3.560037022755279,The Godfather,3.517955722783107,The Dark Knight,3.451785297036268,The Shawkshank Redemption,3.425247132739391
14,14,The Lord of the Rings III,3.6479257356035215,Interstellar,3.5551506463718003,The Godfather,3.508657835588254,The Dark Knight,3.4608988163747645,The Shawkshank Redemption,3.4591520520161767
15,15,The Lord of the Rings III,3.658382839125652,Interstellar,3.5090691144867083,The Dark Knight,3.40439582530169,The Godfather,3.3975896270651886,The Shawkshank Redemption,3.3681246859509484
16,16,The Lord of the Rings III,3.6412435527224627,Interstellar,3.4742427348086276,The Godfather,3.406635312198721,The Dark Knight,3.39319198335624,The Shawkshank Redemption,3.350456975554118
17,17,The Lord of the Rings III,3.632429477315652,Interstellar,3.467197066362836,The Godfather,3.4299688128554537,The Dark Knight,3.3787927004797234,The Shawkshank Redemption,3.3239173123006736
18,18,The Lord of the Rings III,3.613182057830096,Interstellar,3.5217864096401943,The Godfather,3.4445108425201965,The Shawkshank Redemption,3.397206318766781,The Dark Knight,3.3924487147462687
19,19,The Lord of the Rings III,3.6356610106339073,Interstellar,3.4930385930260712,The Dark Knight,3.4038462154348905,The Godfather,3.4029454487251694,The Shawkshank Redemption,3.394775067637716
20,20,The Lord of the Rings III,3.641968732536747,Interstellar,3.4859664993964894,The Godfather,3.4308312897568007,The Dark Knight,3.3871016035257444,The Shawkshank Redemption,3.369315010622599
21,21,The Lord of the Rings III,3.600518515347427,Interstellar,3.536934586723449,The Godfather,3.4238888728273023,The Shawkshank Redemption,3.395563035266551,The Dark Knight,3.381123915373863
22,22,The Lord of the Rings III,3.6281695408993313,Interstellar,3.4609578729220876,The Godfather,3.424089751655098,The Dark Knight,3.3776274496632603,The Shawkshank Redemption,3.3292263025493902
23,23,The Lord of the Rings III,3.657200996737153,Interstellar,3.4862363703013064,The Godfather,3.409298785458082,The Dark Knight,3.386403105300022,The Shawkshank Redemption,3.3538642290192016
24,24,The Lord of the Rings III,3.6734812048788883,Interstellar,3.518190420307551,The Godfather,3.441335265298192,The Dark Knight,3.428610580770617,The Shawkshank Redemption,3.4256576927755447
25,25,The Lord of the Rings III,3.624308170202416,Interstellar,3.5055419864639505,The Godfather,3.4384180428569984,The Shawkshank Redemption,3.399424405484707,The Dark Knight,3.358096650761164
26,26,The Lord of the Rings III,3.6338929043242048,Interstellar,3.4720137983861554,The Dark Knight,3.3983005247342106,The Godfather,3.384787123840307,The Shawkshank Redemption,3.351439785338296
27,27,The Lord of the Rings III,3.6657817432480058,Interstellar,3.548203081210774,The Godfather,3.485963807633419,The Shawkshank Redemption,3.4580154462830035,The Dark Knight,3.436736513431911
28,28,The Lord of the Rings III,3.6952258934978994,Interstellar,3.5253599367247053,The Dark Knight,3.469332081880735,The Godfather,3.4674424723039836,The Shawkshank Redemption,3.4418606037195785
29,29,The Lord of the Rings III,3.6360248603651204,Interstellar,3.5566623322623645,The Godfather,3.4962660820874145,The Shawkshank Redemption,3.4409038994593786,The Dark Knight,3.4385024496578414
30,30,The Lord of the Rings III,3.6796408807024683,Interstellar,3.495297877289015,The Godfather,3.4321707415554252,The Dark Knight,3.409041051490078,The Shawkshank Redemption,3.399121217008792
31,31,The Lord of the Rings III,3.650359474690007,Interstellar,3.51504487205955,The Dark Knight,3.425799693192831,The Godfather,3.424809304060307,The Shawkshank Redemption,3.3972824095271665
32,32,The Lord of the Rings III,3.694811407776302,Interstellar,3.5072303223598276,The Godfather,3.459275415599834,The Shawkshank Redemption,3.443551422672504,The Dark Knight,3.4383765329412745
33,33,The Lord of the Rings III,3.6585366274715416,Interstellar,3.534741976614747,The Godfather,3.4856320745055394,The Shawkshank Redemption,3.436438347136874,The Dark Knight,3.4184309361685683
34,34,The Lord of the Rings III,3.61243996983478,Interstellar,3.4641455830402235,The Godfather,3.4216474046556127,The Dark Knight,3.349167427205043,The Shawkshank Redemption,3.310225508445547
35,35,The Lord of the Rings III,3.6392571417873048,Interstellar,3.4880747550207314,The Godfather,3.409778357655556,The Dark Knight,3.3895620292370388,The Shawkshank Redemption,3.36945596829071
36,36,The Lord of the Rings III,3.6248533173187814,Interstellar,3.506825632338353,The Dark Knight,3.435415975933216,The Godfather,3.3993919292162267,The Shawkshank Redemption,3.3769482155476993
37,37,The Lord of the Rings III,3.6764638846357567,Interstellar,3.524830041171812,The Godfather,3.4460693825928277,The Shawkshank Redemption,3.444060883548956,The Dark Knight,3.436512563851045
38,38,The Lord of the Rings III,3.6606389037761518,Interstellar,3.4887501544928314,The Godfather,3.4369554666267397,The Shawkshank Redemption,3.382953428248305,The Dark Knight,3.3718001187713798
39,39,The Lord of the Rings III,3.5954845657367676,Interstellar,3.523907514576967,The Godfather,3.4176899118055704,The Dark Knight,3.409046684467506,The Shawkshank Redemption,3.357685147086256
40,40,The Lord of the Rings III,3.676767229049792,Interstellar,3.5278141926887514,The Godfather,3.465663514487425,The Dark Knight,3.4559679636129608,The Shawkshank Redemption,3.4285118427747063
41,41,The Lord of the Rings III,3.6650879168429866,Interstellar,3.4785054279954557,The Godfather,3.3975002175917295,The Dark Knight,3.374292889029812,The Shawkshank Redemption,3.3674387666453525
42,42,The Lord of the Rings III,3.6392862063025144,Interstellar,3.4928272375371163,The Godfather,3.437761075735893,The Dark Knight,3.3890101547619627,The Shawkshank Redemption,3.382560756513619
43,43,The Lord of the Rings III,3.5711931425700527,Interstellar,3.549738035330526,The Dark Knight,3.4101074937580247,The Godfather,3.386776843482637,The Shawkshank Redemption,3.3718795606044263
44,44,The Lord of the Rings III,3.6494857318425042,Interstellar,3.468538449175153,The Godfather,3.4227407990473746,The Dark Knight,3.3906816935299275,The Shawkshank Redemption,3.3590468382804493
45,45,The Lord of the Rings III,3.6196797566620518,Interstellar,3.544168522636292,The Dark Knight,3.4347637678193563,The Shawkshank Redemption,3.420988552652295,The Godfather,3.3853634417562413
